Año;Mes;Institución;Suficiencia patrimonial;Proporción de activos improductivos;Proporción de activos productivos;Eficiencia del financiamiento;Morosidad cartera total;Cobertura cartera problemática;Eficiencia de costos operacionales en el manejo del activo;Grado de Absorción;Eficiencia en el manejo de gastos de personal en el manejo de activos;ROE;ROA;Intermediación financiera;Margen de intermediación que genera el patrimonio;Margen de intermediación que genera el activo;Rendimiento de la cartera por vencer;Liquidez;Cartera improductiva descubierta en relación al patrimonio y resultados ;Cartera Improductiva sobre el Patrimonio de Diciembre. ;Porcentaje de los activos totales que están financiados con el patrimonio real de la entidad;Cambio relativo de la participación de los activos improductivos netos que mantiene la institución en relación a sus activos totales.;Índice de Capitalización Neto: Solvencia
2021;Octubre;ECUACREDITOS LTDA;1,793073942;0,115724725;0,884275275;1,09906413;0,062479627;0,861128801;0,070148056;0,960425974;0,032455233;0,030778971;0,004801607;1,394698433;0,018528037;0,002890427;0,183473643;0,184336883;0,048273569;0,355022204;0,149711633;1,115724725;0,134183307
2021;Octubre;EDUCADORES DE PASTAZA LTDA;0,970908076;0,329865109;0,670134891;1,046773798;0,003531337;5,885308022;0,063746414;0,94845623;0,028938869;0,037583618;0,01114365;2,634029;0,011683845;0,003464293;0,159813803;0,889683469;0;0,006751591;0,304034072;1,329865109;0,228620234
2021;Octubre;EDUCADORES Y ASOCIADOS ZAMORA CHINCHIPE;16,61255236;0,038221401;0,961778599;2,17683395;0,008459883;4,808477043;0,059873625;0,652527979;0,024591091;0,048665806;0,024101651;2,041845773;0,064377392;0,031882785;0,134089742;0,195226646;0;0,014642486;0,501107926;1,038221401;0,482659986
2021;Octubre;EMPRENDEDORES COOPEMPRENDER LIMITADA;16,86307451;0,01279542;0,98720458;1,095385068;0,054272872;1,038639602;0,045118467;0,880897685;0,017082376;0,095699178;0,006946512;0,856628574;0,084040865;0,00610027;0,171643122;0,298008453;0;0,553552159;0,080734212;1,01279542;0,079714235
2021;Octubre;ETAPA;12,07246901;0,015739158;0,984260842;1,222649774;0,078387056;0,957283989;0,05146618;0,741658763;0,021707174;0,069904633;0,011774131;2,368053461;0,106436025;0,017927162;0,145126596;0,513499402;0,016539699;0,409189884;0,176622359;1,015739158;0,173885547
2021;Octubre;FINANZAS CORPORATIVAS LTDA;7,045249689;0,031724713;0,968275287;1,193797429;0,016009917;1,515319394;0,053831021;0,871292575;0,030935482;0,055876828;0,008395101;1,115522793;0,052927089;0,007951924;0,16616876;0,250847772;0;0,087679135;0,160326252;1,031724713;0,155396347
2021;Octubre;FOCLA;1,458724965;0,186836606;0,813163394;1,10891525;0,11345462;0,716073465;0,061579514;0,94976629;0,022378233;0,028013816;0,007149111;1,274838592;0,012762478;0,003256977;0,19150566;0,139983851;0,10238987;0,368655945;0,250720122;1,186836606;0,211250749
2021;Octubre;FONDO PARA EL DESARROLLO Y LA VIDA;1,729605862;0,099612308;0,900387692;1,102658092;0,080572121;0,814548725;0,090902473;1,497724919;0,044060849;-0,169157344;-0,033719237;1,205003979;-0,15154658;-0,030208769;0,180798319;0,230394899;0,07897191;0,366472524;0,157302939;1,099612308;0,14305309
2021;Octubre;FUTURO LAMANENSE;4,597237098;0,097512326;0,902487674;1,330847595;0,068423369;0,789940942;0,093150827;0,757542085;0,034664072;0,082353112;0,025286936;1,740605363;0,097095727;0,02981373;0,196368915;0,588245198;0,036275015;0,184388789;0,280942211;1,097512326;0,255980916
2021;Octubre;GAÑANSOL LTDA;13,31313877;0,016935287;0,983064713;1,190588452;0,037124114;1,485032195;0,040029728;0,58200415;0,017900882;0,101527815;0,012982848;0,880748565;0,224824478;0,028749383;0,17001897;0,465462046;0;0,217189528;0,133004759;1,016935287;0,130789796
2021;Octubre;GONZANAMA;4,91715697;0,042938749;0,957061251;1,191455416;0,068835311;1,400071504;0,10755344;0,794975444;0,03607761;#¡NULO!;0,036975128;1,165738976;#¡NULO!;0,027738085;0,339867821;0,149493232;0;0,348301381;0,17528649;1,042938749;0,168069784
2021;Octubre;GRUPO DIFARE;3,795429532;0,063446459;0,936553541;1,300916272;0,008775117;1,431317864;0,052121935;0,803870003;0,02869003;0,053514323;0,013577431;0,843016157;0,050122319;0,012716826;0,132884978;0,240557013;0;0,023093881;0,240429085;1,063446459;0,226084804
2021;Octubre;HERMES GAIBOR VERDESOTO;3,282981619;0,082909412;0,917090588;1,220524184;0,068714886;0,935949807;0,060895088;0,663163709;0,026604101;0,095567846;0,020315865;1,715911227;0,145497949;0,030930033;0,195328717;0,324991417;0,017294685;0,290283633;0,212785357;1,082909412;0,196494143
2021;Octubre;IMBABURA IMBACOOP LTDA;0,737206279;0,226675282;0,773324718;0,896512403;0,049788488;0,807777656;0,11172563;1,024036278;0,036393663;-0,013729941;-0,001266369;0,892679222;-0,028432363;-0,002622435;0,253131464;0,206486184;0,07086867;0,365082343;0,102797864;1,226675282;0,083802018
2021;Octubre;INDIGENAS GALAPAGOS LTDA;1,440132589;0,202087511;0,797912489;1,011721473;0,076779827;0,95553653;0,179962275;0,965918561;0,091520039;#¡NULO!;0,00718104;1,919380998;#¡NULO!;0,006349783;0,429514709;0,483278283;0,014815091;0,337919855;0,189298592;1,202087511;0,157474885
2021;Octubre;INTERANDINA;0,965144165;0,111029068;0,888970932;1,010959351;0,071377174;0,88270167;0,081207528;0,991784545;0,043980248;0,001271139;0,000154463;0,979463503;0,00553577;0,000672683;0,225231207;0,368058288;0,061618064;0,525821867;0,099807256;1,111029068;0,089833164
2021;Octubre;JUAN DE SALINAS;0,275925266;0,346305557;0,653694443;0,729473354;0,076237319;0,416779467;0,052533962;1,029736587;0,018188312;0,004334323;0,000407317;0,559120646;-0,016143366;-0,001517068;0,169306333;0,237402171;0,230321538;0,396262564;0,09257155;1,346305557;0,068759688
2021;Octubre;KISAPINCHA LTDA;6,582514072;0,033025721;0,966974279;1,170265391;0,050108084;1,422686478;0,108588461;0,4985073;0,05139625;#¡NULO!;0,116132296;1,289900378;#¡NULO!;0,109238763;0,404174058;0,562571619;0;0,406095756;0,14582665;1,033025721;0,141164588
2021;Octubre;LA DOLOROSA LTDA;2,707390088;0,106459125;0,893540875;1,2707497;0,13795593;0,981161403;0,075988769;1,183847762;0,033836698;0,001464768;0,000354244;0,810979268;-0,048795387;-0,011800812;0,165234979;0,303947818;0,006138341;0,326239338;0,229446931;1,106459125;0,207370454
2021;Octubre;LA FLORESTA LTDA;2,560374783;0,0781058;0,9218942;1,082432814;0,026606105;1,254839704;0,091060379;1,170327288;0,05290196;-0,090464135;-0,011950613;1,112125908;-0,10032117;-0,013252761;0,183991963;0,503290519;0;0,170750264;0,105438295;1,0781058;0,097799581
2021;Octubre;LAS NAVES LTDA;4,224505549;0,042103345;0,957896655;1,140213924;0,014881618;1,879695569;0,143854513;0,786916139;0,048858206;#¡NULO!;0,03834063;1,296885783;#¡NULO!;0,03895342;0,368081719;0,42391396;0;0,090279522;0,134953856;1,042103345;0,129501414
2021;Octubre;LOS ANDES LATINOS LTDA;4,439902084;0,050141304;0,949858696;1,180498741;0,017002971;1,306946583;0,209110369;0,827390485;0,11670407;#¡NULO!;0,053488826;1,494679714;#¡NULO!;0,043624431;0,411573522;0,271575341;0;0,096147401;0,16240839;1,050141304;0,154653845
2021;Octubre;LOS RIOS;0,195345701;0,323568388;0,676431612;0,733396378;0,050727578;0,351818492;0,031966716;1,010151925;0,012386418;0,019410658;0,001347474;0,377467792;-0,004627854;-0,000321262;0,165122407;0,331488025;0,182141196;0,285476316;0,061295254;1,323568388;0,046310606
2021;Octubre;MAGISTERIO MANABITA LIMITADA;6,368684307;0,091128492;0,908871508;2,527868385;0,041489621;1,311560961;0,103955189;0,843701088;0,037346516;0,092387919;0,047095979;4,680379822;0,037778514;0,019258104;0,170073069;0,321090044;0;0,072006658;0,524682763;1,091128492;0,48086249
2021;Octubre;MARCABELI LTDA;2,221297555;0,075696171;0,924303829;1,11112598;0,051424657;0,679882926;0,081728422;0,970363891;0,034982188;0,084070155;0,012970014;1,390466597;0,01617935;0,002496087;0,174624151;0,183590485;0,089472017;0,297394979;0,145756713;1,075696171;0,135499891
2021;Octubre;METROPOLITANA LTDA;4,760910816;0,075867993;0,924132007;1,51646072;0,001291933;16,68098965;0,049930376;0,984135482;0,01612681;0,010683755;0,003532021;0,795279838;0,002434655;0,000804891;0,122658449;0,134531873;0;0,001879659;0,326163976;1,075867993;0,303163565
2021;Octubre;MICROEMPRESARIAL SUCRE;2,059320101;0,277339844;0,722660156;1,050156519;0,130751085;0,519774002;0,075014244;0,958409412;0,022668285;0,016466208;0,004195122;1,062007406;0,012777232;0,003255275;0,152332907;0,625802142;0,172597236;0,3643392;0,246653162;1,277339844;0,19309909
